2023-12-19 14:12:131 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (5d8e083b5b896f9c31d44f9e50706853)] -> css selector: #menu .see-all]
2023-12-19 14:12:93 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (0ccce070c8b7054f85b29d849adf3d2e)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:110 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (0ccce070c8b7054f85b29d849adf3d2e)] -> css selector: #menu .see-all]
2023-12-19 14:12:525 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b2d9c3d79733965a9d8b94b13926a76a)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:550 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (b2d9c3d79733965a9d8b94b13926a76a)] -> css selector: #menu .see-all]
2023-12-19 14:12:287 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (d32d6efadd966f5f74d0a85a1c59015a)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:310 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (d32d6efadd966f5f74d0a85a1c59015a)] -> css selector: #menu .see-all]
2023-12-19 14:12:75 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (be5073100c73b93e46e229779693ddd9)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:96 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (be5073100c73b93e46e229779693ddd9)] -> css selector: #menu .see-all]
2023-12-19 14:12:556 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (e81e4ec3f66e6a24cf0f5009289cf703)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:573 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (e81e4ec3f66e6a24cf0f5009289cf703)] -> css selector: #menu .see-all]
2023-12-19 14:12:656 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (2611defa3b48d7a7855287ae0ee134f6)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:672 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (2611defa3b48d7a7855287ae0ee134f6)] -> css selector: #menu .see-all]
